LB,ObjCoeff,Dual,RC,y_lp_sum,ylp,yint
46441,0.272727,0.759255,0.662485,1,1,1
46441,0.636364,0.853703,0.837898,0.145387,0.142365,0
46441,1,1,0.837898,1,1,1
46441,0.579545,-0.37849,-0.445613,1,1,1
46441,0.886364,0.734248,0.837898,0.0334811,0.0369588,0
46441,0.238636,0.925693,0.837898,0.976121,0.972359,1
47840.4,1,0.956103,0.781651,0.20853,0.208745,0
47840.4,0.329545,0.996324,0.79363,1.05E-09,0,0
47840.4,0.579545,0.934399,0.700043,1,1,1
47840.4,0.568182,0.617062,0.378919,1,1,1
47840.4,0.329545,0.424763,0.23889,1,1,1
47840.4,0.647727,0.961117,0.781651,0.105085,0.106206,0
47840.4,0.659091,0.951007,0.781651,0.250647,0.250662,1
47840.4,0.840909,0.968044,0.781651,0.486815,0.487594,1
47840.4,0.0113636,0.912083,0.643052,1,1,1
47840.4,1,0.912111,1,8.74E-14,0,0
47840.4,0.704545,0.219278,-0.0301928,1,1,1
47840.4,0.511364,1,0.781651,0.943057,0.941658,1
47840.4,0.204545,0.994397,0.779411,0.999892,0.999949,1
47840.4,0.556818,0.87719,0.781651,0.497658,0.496113,0
47840.4,0.840909,0.904004,0.817014,7.11E-14,0,0
47840.4,1,1,0.781651,1,1,1
47840.4,0.920455,0.436891,0.781651,0.430693,0.430721,1
47840.4,0.136364,0.801618,0.781651,0.0074717,0.00677368,0
47840.4,0.318182,0.98891,0.773733,1,1,1
47840.4,0.852273,0.999351,0.781651,0.0224388,0.0222405,0
47840.4,0,0.966867,0.781651,0.241305,0.241593,1
47840.4,1,0.914742,0.917693,7.11E-14,0,0
47840.4,0.0681818,0.999867,0.821653,7.11E-14,0,0
47840.4,0.477273,0.992036,0.803078,1.19E-11,0,0
47840.4,0.420455,0.747459,0.781651,0.410234,0.410412,1
47840.4,0.886364,0.984016,0.781651,0.0231818,0.022391,0
47840.4,0.681818,0.787497,0.811266,1.00E-10,0,0
47840.4,0.772727,0.715861,0.781651,0.539162,0.541702,1
47840.4,1,0.881863,0.781651,1,1,1
